input_name,sponsor_level,input_description,queried_as,match_confidence,match_score,confidence_notes,matched_name,domain,website_url,linkedin_url,twitter_url,facebook_url,industry,estimated_num_employees,annual_revenue,founded_year,city,state,country,phone,short_description,keywords,technologies,total_funding,latest_funding_stage,latest_funding_date,apollo_id,error
Box,Exhibitor,Cloud content management and file sharing service that enables AEC firms to securely collaborate on large project files from anywhere.,Box,high,1.0,"name:exact; class_overlap:6 (cloud,content,file,management,project); desc_overlap:5",Box,box.com,http://www.box.com,http://www.linkedin.com/company/box,https://twitter.com/box,https://facebook.com/box,information technology & services,2900,1177253000.0,2005,Redwood City,California,United States,+1 877-729-4269,"Box, Inc. is a leading independent cloud content management platform that focuses on secure storage, sharing, collaboration, and workflow automation for enterprise content. Founded in 2005, Box transitioned from a consumer-focused service to an enterprise solution, emphasizing security and compliance. The company is headquartered in Redwood City, California, and has seen significant growth since its inception.

Box offers a SaaS platform that manages the full content lifecycle. Its features include cloud storage and file sharing, collaboration tools for real-time editing, and advanced security measures tailored for enterprises. The platform also supports integrations and automation through APIs, enhancing its functionality with features like AI and e-signatures. Box serves a variety of industries, including financial services, healthcare, media, technology, and government, catering to businesses of all sizes.","content cloud; file sharing; esign; business software; mobile enterprise security; cloud content management; collaboration; efss; enterprise content management; esignature; enterprise software; ftp replacement; content management; cloud computing; software; information technology; computer software: prepackaged software; technology; technology, information & internet; secure content sharing; user experience; content security policies; content compliance; content migration tools; b2b",6sense; AI; AMP; ANGEL LMS; AWS Analytics; AWS Marketplace; AWS Mobile SDK; AWS SDK for JavaScript; AWS Transfer for SFTP; AWS Trusted Advisor; Act!; Adobe After Effects; Adobe Experience Manager; Adobe InDesign; Adobe Marketing Cloud; Adobe Media Optimizer; Adobe Premiere Pro; Adobe Target; Adobe TestAndTarget; Agiloft Service Desk Suite; Airtable; Akamai Connected Cloud (formerly Linode); Amazon Associates; Amazon Linux 2; Amazon Managed Streaming for Apache Kafka (Amazon MSK); Amazon SES; Amazon Web Services (AWS); Android; Anthropic Claude; Apache Spark; Apple Pay; Apple macOS; Apttus; Argon CI/CD Security; Atlassian Cloud; AuditBoard; Azure Active Directory B2C; Azure Linux Virtual Machines; BASE; Bash; Blackline; Bluekai; Boomi; Box.net; Brightflag; C#; CSS; CallMiner Eureka; Canva; Canvas by Instructure; ChatGPT; Cisco Mobile Wireless Routers; Cisco WebEx Teams; Claude; CloudFlare CDN; Concur; Confluence; Conviva Operational Data Platform; Cornerstone On Demand; Coupa; Cucumber; Cursor; DATAflow; Databricks Data Intelligence Platform; Dell EMC IDPA; DemandBase; Django; Docker; DoubleClick; DoubleClick Conversion; Drift; Drupal; Duo; ELK Stack; Elastic Stack; Elasticsearch; FACTS; Facebook Signal; Figma; FlipHTML5; Flow; Forms on the Fly; Frame; Gem; Git; GitHub; GitHub Copilot; GitHub Enterprise; GitHub Hosting; Global Relay; Gmail; Google; Google Apps; Google Calendar; Google Cloud; Google Cloud BigQuery; Google Cloud BigTable; Google Cloud Data Fusion; Google Cloud Dataproc; Google Cloud Platform; Google Cloud Pub/Sub; Google Dynamic Remarketing; Google Identity Services APIs; Google Pay for Business; Google Tag Manager; Google Workspace; Grafana; GraphQL; Greenhouse; Guidewire; IBM ILOG CPLEX Optimization Studio; IBM InfoSphere Information Governance Catalog (IGC); IBM Security Identity Governance and Intelligence; IDC; Informatica Test Data Management; Istio; JWT; Javascript; Jenkins; Jest; Jira; Kandji; Kantata; Kiosked; Kotlin; Kubernetes; Kyriba; LangG,,,,54a1225269702da425362703,
Creative ITC,Exhibitor,Global cloud services provider specializing in high-performance virtual workstation solutions (VDI) tailored for graphics-intensive AEC applications.,Creative ITC,high,1.0,"name:exact; class_overlap:6 (aec,cloud,performance,vdi,virtual); desc_overlap:6",Creative ITC,creative-itc.com,http://www.creative-itc.com,http://www.linkedin.com/company/creative-itc,https://twitter.com/creative_itc,https://facebook.com/CreativeConsultingltd,information technology & services,170,23600000.0,2006,London,England,United Kingdom,+44 20 7682 2820,"Creative ITC is a London-based infrastructure and global cloud enablement company founded in 2006. The company specializes in designing and delivering managed services and cloud solutions across five continents. Its mission is to help clients accelerate innovation and achieve their business objectives through effective digital transformations.

Headquartered in London, Creative ITC employs around 156 people and generates approximately $38 million in revenue. The company offers a range of services, including cloud migration, managed services, and desktop solutions. Notably, it provides a purpose-built Virtual Desktop Infrastructure (VDI) for high-graphics users, supporting thousands of desktop users globally. Creative ITC also emphasizes proactive issue resolution and a hands-on culture, ensuring that client projects are treated with care and attention.

With partnerships that include major technology firms, Creative ITC delivers holistic solutions that address storage, compute, networking, and collaboration needs. The company is recognized as a leading provider in the Architecture, Engineering, and Construction (AEC) sector, supporting organizations of various sizes in their digital initiatives.",san; wan wlan; netapp; data management; business resilience; collaboration; patching; security; network; unified computing; data centre; vdi; construction; private cloud; networking lan; network security; microsoft; healthcare; flexpod & expresspod; aec; bim; innovation; 247365; virtualisation; unified communications,AI; Autotask; CloudFlare; CloudFlare Hosting; Cloudflare DNS; Datto RMM; Hubspot; IoT; Lansweeper; Microsoft Office 365; Outlook; Salesforce; Slack; Sophos; Vincere,220000,Venture (Round not Specified),2024-08-01T00:00:00.000+00:00,54a11efb69702d86b6f49801,
D5 Render,Exhibitor,A real-time ray tracing renderer that integrates with BIM/CAD software to provide high-quality architectural visualization and animation.,D5 Render,high,1.0,"name:exact; class_overlap:8 (animation,architectural,high,ray,real); desc_overlap:7",D5 Render,d5render.com,http://www.d5render.com,http://www.linkedin.com/company/d5render,,,information technology & services,350,8900000.0,,New York,New York,United States,,"D5 Render is a real-time 3D rendering software company based in Nanjing, China, founded in 2015. The company specializes in photorealistic visualization solutions for architecture, interior design, landscape design, and related creative industries. D5 Render focuses on enhancing real-time rendering through innovations in computer graphics, AI, and VR/AR concepts. Their flagship product, D5 Render, is an award-winning rendering engine that integrates with major modeling software, providing features like real-time path tracing, AI-powered tools, and a comprehensive asset library.

D5 Render serves various sectors, including architecture, engineering, and construction, streamlining design processes for faster iterations and improved client presentations. The company also offers a collaboration platform, D5 Render for Teams, which facilitates real-time edits and sharing among design teams. With a commitment to delivering high-quality visuals and efficient workflows, D5 Render is trusted by prominent firms like Aedas, SWA, BIG, and KPF.",modeling; visualization; architectural planning; interior design; landscape; rendering; planning; 3d; design; architecture; software development; multi-user collaboration; ai for city modeling; landscape architecture; ai style transfer; ai-enhanced material editing; ai for interior visualization; multi-software support; ai noise reduction; real-time rendering; animation creation; ai for product visualization; construction; sketchup plugin; ai auto atmosphere,AI; Adobe Photoshop; Android; Canva; Citrix NetScaler; CloudFlare; Cloudflare DNS; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Freshdesk; Gmail; Google Apps; Google Font API; Google Tag Manager; Mobile Friendly; Nginx; Outlook; Pardot; Remote; Render; Salesforce; Sendgrid; Slack; VueJS; Webflow; YouTube,,,,61eb9644298f5c00014d4da7,
Deltek,Gold Sponsor,"Global provider of enterprise software and information solutions for project-based businesses, including Ajera and Vantagepoint for AEC.",Deltek,low,0.2,name:partial ('deltek nordic' vs 'deltek'),Deltek Nordic,,,http://www.linkedin.com/company/deltek-norge-as,,,,,,1983,,,,,,,,,,,5fc9222340465f0001048178,
Egnyte,Gold Sponsor,Cloud content security and governance platform that provides secure file sharing and collaboration specifically designed for AEC project environments.,Egnyte,high,1.0,"name:exact; class_overlap:10 (cloud,collaboration,content,environments,file); desc_overlap:10",Egnyte,egnyte.com,http://www.egnyte.com,http://www.linkedin.com/company/egnyte,http://twitter.com/Egnyte,http://www.facebook.com/Egnyte,information technology & services,1300,100000000.0,2008,Mountain View,California,United States,+1 650-968-4018,"Egnyte is a cloud-based enterprise content management company founded in 2007 and headquartered in Mountain View, California. The company provides a unified cloud content governance platform designed for collaboration, data security, compliance, and threat prevention in multi-cloud environments. With a focus on reducing IT complexity and enhancing employee productivity, Egnyte serves over 17,000 organizations worldwide across various sectors, including Architecture, Engineering, and Construction (AEC), Life Sciences, Manufacturing, Travel and Tourism, and Space.

The platform features tools for seamless content sharing, protection against ransomware and IP theft, and solutions for regulatory compliance. Recent innovations include Project Hub, an AI-driven solution tailored for the AEC industry. Egnyte emphasizes a customer-centric culture and is committed to sustainable business practices, promoting Environmental, Social, and Governance (ESG) initiatives. The company has raised significant funding from notable investors and operates with a dedicated team of over 1,000 employees, trusted by IT leaders globally.",data intelligence; tech; business file sharing; gdpr; cloud; hybrid; data protection; cybersecurity; data compliance; efss; secure file sharing; online collaboration; cloud computing; storage; enterprise file services; online storage; mobile; iphone; file sharing; enterprise software; ios; information technology; software; software development; content security policies for iso 27001,A Small Orange; ABBYY FlexiCapture SDK; AI; ANGEL LMS; Acronis; Ad Astra; AddThis; Adobe Analytics; Amazon AWS; Amazon S3; Amazon SES; Amazon Virtual Private Cloud (Amazon VPC); Ansible; Atlassian Cloud; Azure Blob Storage; Backbone JS Library; Bing Ads; CSS; ChatGPT; Cisco Web Security Appliance S600v; Concur; Conga CPQ; Cvent; Dell EMC Disaster Recovery; DoubleClick; DoubleClick Conversion; DoubleClick Floodlight; Drift; Egnyte; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Fastly CDN; GC Digital; Gainsight; Gartner; Gem; Git; GitLab; Gmail; Gong; Google Analytics; Google Apps; Google Cloud; Google Cloud BigQuery; Google Cloud BigTable; Google Cloud Machine Learning Engine; Google Cloud SQL; Google Dynamic Remarketing; Google Tag Manager; Grafana; HTML5 Maker; Hotjar; Hugging Face; Jenkins; Kubernetes; Liferay DXP Cloud; Linkedin Marketing Solutions; Looker Studio; Marketo; Microsoft Clarity; Microsoft Office 365; Mobile Friendly; MongoDB; MySQL; NetSuite; Nginx; PostgreSQL; Productboard; Prometheus; Puppet; Python; React; Redux; Remote; Rubrik; SQL; SQLite; SWIFT; Salesforce; Salesforce CPQ; Salesforce Revenue Cloud; Salesforce Sales Cloud; Security; Sendgrid; Sizmek (MediaMind); Skilljar Customer Education Platform; Slack; Splash; Stripe; Tableau; Terraform; Twitter Advertising; Vimeo; Visual Website Optimizer; Vitess; Wasabi; Webflow; Xcode; Yahoo Ad Manager Plus; Yahoo Analytics; Zendesk; Zoomdata; dbt; webpack,137500000,Venture (Round not Specified),2025-02-01T00:00:00.000+00:00,54a1229a69702d8ed4323103,
Full Sail Partners,Exhibitor,A Deltek partner providing business consulting and technology solutions to help professional services firms optimize their Deltek software.,Full Sail Partners,high,1.0,"name:exact; class_overlap:5 (business,consulting,deltek,professional,technology); desc_overlap:8",Full Sail Partners,fullsailpartners.com,http://www.fullsailpartners.com,http://www.linkedin.com/company/full-sail-partners,https://twitter.com/reachfullsail,https://www.facebook.com/fullsailpartners,information technology & services,48,2100000.0,2012,Steamboat Springs,Colorado,United States,+1 888-552-5535,"Full Sail Partners is a Deltek Premier Partner and enterprise software provider based in Steamboat Springs, Colorado. With over 20 years of experience, the company specializes in technology services and business consulting for project-based professional services firms across various industries, including architecture, engineering, and construction. They focus on creating efficient business infrastructures through integrated ERP and CRM solutions, particularly Deltek Vantagepoint and Vision.

The company offers a range of client-focused services, including business consulting, system implementations, software training, and expert support. Full Sail Partners is known for its proprietary product, the Blackbox Connector, which integrates third-party software with Deltek systems, enhancing operational efficiency. Their tailored solutions aim to improve visibility and profitability for project-based organizations, helping clients optimize operations and manage growth effectively.",erp software; technology solutions; deltek vision application hosting; integration; outsourced accounting; accounting software; hr consulting; proposal automation; resource managment; crm; it services & it consulting; m&a analysis; transition services; b2b; project management tools; data architecture; system integration; cloud conversion; guidance and training; erp solutions; business intelligence; whitepapers; services; data migration; deltek upgrade services,Cufon; Deltek; Deltek Vantagepoint CRM; Deltek Vision; Google Analytics; Google Font API; Google Tag Manager; Hubspot; Mobile Friendly; Outlook; QuickBooks; Remote; Slack; WordPress.org,,,,54a23eea7468692e711ac719,
Hallian Technologies,Gold Sponsor,Specializes in advanced technology solutions and software integrations designed to streamline AEC business operations.,Hallian Technologies,medium,0.56,"name:exact; class_overlap:2 (business,technology)",Hallian Technologies,halliantech.com,http://www.halliantech.com,http://www.linkedin.com/company/hallian-technologies,,,information technology & services,2,,2021,Greenville,South Carolina,United States,+1 864-334-6105,"Hallian Technologies is an IT services and consulting company based in Greenville, South Carolina, founded in 2021. The company specializes in secure, enterprise-grade generative AI solutions that are installed on customer infrastructure. It serves industries such as engineering, construction, manufacturing, and higher education, focusing on privacy, control, and security.

The core product, HallianAI, acts as a centralized AI engine that integrates all organizational AI needs into a single, scalable platform. It allows for secure, on-premises deployment, ensuring that proprietary data remains under customer control. Hallian Technologies also offers a range of services, including AI assessments, training, data integration, and custom web and mobile solutions. The company positions itself as a comprehensive AI partner, providing end-to-end support from assessments to implementation, with a commitment to delivering meaningful results for its clients.",data engineering; business intelligence; data warehousing; artificial intelligence; application development; generative ai; it services & it consulting; b2b; ai for a/e firms; ai workflows and assistants; ai for manufacturing industry; data privacy; ai for construction; private cloud ai; ai workflow automation; consulting; ai platform; enterprise-grade security; ai model integration; ai integration; manufacturing; data connectors and warehousing; custom ai workflows; data sovereignty; ai for higher education,Cloudflare DNS; Google Cloud Hosting; Microsoft Office 365; Mobile Friendly; Outlook; Sendgrid; Varnish; Wix,,,,661e24752b0d840007da3204,
Harbor Compliance,Silver Sponsor,"Assists AEC firms with licensing, entity management, and regulatory compliance across multiple jurisdictions.",Harbor Compliance,high,1.0,"name:exact; class_overlap:5 (compliance,entity,licensing,management,regulatory); desc_overlap:5",Harbor Compliance,harborcompliance.com,http://www.harborcompliance.com,http://www.linkedin.com/company/harbor-compliance,https://twitter.com/mikemontali,https://www.facebook.com/HarborCompliance,information technology & services,170,8000000.0,2012,Lancaster,Pennsylvania,United States,+1 888-995-5895,"Harbor Compliance is an online legal technology company based in Lancaster, Pennsylvania, founded in 2012. The company specializes in compliance solutions for businesses and nonprofits across the United States. It offers a centralized platform for managing multistate compliance, including entity formation, government licensing, tax registration, and ongoing filings in over 22,000 jurisdictions.

The company provides three main service models: managed services, Software-as-a-Service (SaaS), and hybrid solutions, all powered by its Compliance Core technology. Key offerings include full lifecycle management for business formation, multistate tax registration, and a License Manager for tracking government licenses. Harbor Compliance also features a comprehensive software suite that centralizes data management and reduces risks associated with version control. With a client base of over 40,000, the company has demonstrated significant growth, achieving 258% revenue growth and expanding its services through the acquisition of Labyrinth, Inc. in 2022.",entity management; 501c nonprofit formations; registered agent; charitable solicitation registration & renewal; tax registrations & exemptions; nationwide registered agent service; certificates of authority; business compliance; business formation; incorporation services; 501 applications; nonprofit compliance; business licensing; annual reports; full lifecycle compliance solutions; corporate filings; cause marketing licensing; nonprofit incorporation; charitable solicitation registration; foreign qualification; entity management software; withdrawals & dissolutions; business licensing software; company records; startups,ANGEL LMS; Amazon Linux 2; Azure Active Directory; Bing Ads; Citrix; ClickUp; DoubleClick; DoubleClick Conversion; Excel4Apps; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Gmail; Google Apps; Google Dynamic Remarketing; Google Sheets; Google Tag Manager; Google Workspace; HELM; Hubspot; Jira; Kubernetes; Linkedin Marketing Solutions; MailChimp SPF; Microsoft Azure Hosting; Mobile Friendly; MouseFlow; NetSuite; New Relic; Nginx; OrCAD PSpice Designer; React; Remote; Rippling; Slack; Trustwave Seal; Wistia; WordPress.org; Zendesk,,Merger / Acquisition,2026-02-01T00:00:00.000+00:00,54a11e2569702d84c5aa4901,
Iconic BIM/Guardian,Exhibitor,"Provides Guardian, a Revit-specific add-in that protects project data integrity by preventing unapproved elements from entering models.",,,,,,,,,,,,,,,,,,,,,,,,,,no Apollo match
IES,Exhibitor,Integrated Environmental Solutions (IES) provides Virtual Environment (IESVE) software for integrated performance-based building analysis and digital twin tools.,IES,high,0.8,"name:partial ('ies ltd.' vs 'ies'); class_overlap:9 (analysis,building,digital,environment,environmental); desc_overlap:11",IES Ltd.,iesve.com,http://www.iesve.com,http://www.linkedin.com/company/ies-ltd-,https://twitter.com/IESVE,https://facebook.com/IESVE,information technology & services,310,20867000.0,1994,Glasgow,Scotland,United Kingdom,+44 141 945 8500,"IES Ltd. is a global climate tech company based in Glasgow, United Kingdom, specializing in software solutions and consultancy services aimed at decarbonizing the built environment. Founded in 1994, IES has become a leader in integrated performance-based analysis for buildings, employing approximately 528 people and generating annual revenue of $71.1 million. The company has significantly contributed to the performance improvement of over 1.5 million buildings worldwide.

The flagship product, IESVE (IES Virtual Environment), is an energy analysis and performance modeling software suite that offers tools for energy analysis, HVAC system design, daylighting analysis, and more. IES also provides digital twin solutions and real-time performance monitoring through its ICL product suite and IES Live. In addition to software, IES offers expert consultancy services to support architecture, engineering, and construction professionals. The company invests heavily in research and development, collaborating with industrial and academic partners to drive innovation in sustainable building practices.","retrofit; consultancy; masterplanning; green design software; training; r amp d; r d; realtime control; smart cities; technology, information & internet; collaborative design; performance updates; performance data; services; performance analysis for energy networks; performance-based analysis; energy efficiency tools; sustainable building design; performance reporting software; energy management; building optimization; retrofitting analysis; construction & real estate; performance validation; decarbonization",AI; Apache; Azure Analysis Services; Azure Devops; Azure Digital Twins; Azure Pipelines; ExactTarget; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Git; Google Font API; Google Tag Manager; Hotjar; Jira; Linkedin Marketing Solutions; Microsoft Application Insights; Microsoft Azure Hosting; Microsoft Azure Monitor; Mobile Friendly; Pardot; React; Remote; Sales Cloud Einstein; Salesforce; Sendgrid; Slack; Sophos; Teachable; Ubuntu; Vimeo; Woo Commerce; WordPress.org; ZoomInfo; reCAPTCHA,220000,Other,2017-01-01T00:00:00.000+00:00,54a25e4f7468693825fbab1d,
InspectMind AI,Exhibitor,An AI-powered tool designed to automate and streamline the building inspection process and report generation for AEC professionals.,InspectMind AI,high,1.0,"name:exact; class_overlap:5 (building,generation,inspection,powered,report); desc_overlap:6",InspectMind AI,inspectmind.ai,http://www.inspectmind.ai,http://www.linkedin.com/company/inspectmind-ai,,,information technology & services,6,,2024,San Francisco,California,United States,,"InspectMind AI is an innovative platform founded in 2023 by Aakash Prasad and Shuangling Yin, based in San Francisco, California. The company specializes in artificial intelligence solutions for inspection reporting and construction document review, primarily serving the architecture, engineering, and construction (AEC) sector, as well as manufacturing and aerospace industries.

The platform offers a range of AI-driven tools designed to automate inspection processes and enhance quality control. Key features include AI inspection report generation, which creates detailed reports from site visit data, and an AI agent that reviews construction drawings to identify issues such as dimension mismatches and code violations. Additional functionalities include inspection scheduling, real-time reporting, collaborative review tools, and data analytics. These tools aim to streamline workflows, reduce errors, and improve project efficiency across various construction and inspection-heavy projects.",software development; inspection automation; mobile inspection app; cloud data storage; ai construction diagnostics; report generation; construction site ai tools; construction management software; site condition assessment; construction project tracking; real-time data capture; construction quality assurance ai; field report automation; field report app; digital construction reports; automated defect detection; construction compliance monitoring; construction site ai platform; digital site reports; construction progress tracking; construction quality control; site inspection tools; digital field reports; construction project management; real-time reporting,AWS Analytics; CallMiner Eureka; CloudFlare Hosting; Cloudflare DNS; Gmail; Google Apps; Google Tag Manager; Linkedin Marketing Solutions; Mobile Friendly; Next.js; Sendgrid; WordPress.org,130000,Seed,2024-03-01T00:00:00.000+00:00,65a2ba66747e3304541bb048,
Joist AI,Gold Sponsor,An AI-powered platform for AEC marketing and business development teams to streamline proposal writing and data management.,Joist AI,high,1.0,"name:exact; class_overlap:7 (aec,data,development,management,marketing); desc_overlap:10",Joist AI,joist.ai,http://www.joist.ai,http://www.linkedin.com/company/joistai,https://twitter.com/JoistHQ,https://www.facebook.com/joistai,information technology & services,65,,2022,San Diego,California,United States,+1 346-286-4000,"Joist AI is an AI-powered platform designed for the Architecture, Engineering, and Construction (AEC) industry. It focuses on content enablement, sales enablement, and knowledge management, helping teams streamline proposal creation and automate workflows. The platform serves as a central repository for AEC firms, utilizing a contextual knowledge graph to organize and retrieve historic proposals, project data, and other essential documents from various sources.

The suite of features includes smart content retrieval, AI-assisted content generation, analytics tools, and workflow automation. Joist AI enhances collaboration across teams, supports compliance, and enables efficient management of the proposal lifecycle. It is scalable for firms of all sizes, providing quick onboarding and significant time savings. The platform is particularly beneficial for marketing and business development teams, principals, and operations managers in the AEC sector, facilitating the creation of compliant and competitive proposals.",software development; proposal compliance; ai in aec; consulting; marketing automation; content reuse; ai-powered proposal automation; proposal win rate; revenue operations; collaboration tools; content search; content management; content duplication prevention; proposal generation; content organization; construction & real estate; b2b; project management; proposal tracking; rfx response; content analytics; computer systems design and related services; proposal quality; customer engagement; institutional knowledge,AI; ANGEL LMS; AT&T; AWS Lambda; AWS Step Functions; AWS Trusted Advisor; Ad Astra; Adobe; Amazon CloudWatch; Amazon S3; Anthropic Claude; Azure Data Lake Storage; Cascade CMS; CloudFlare Hosting; Cloudflare DNS; Dell EMC Disaster Recovery; Fastapi; Frame; Gemini; GitHub; GitHub Actions; Gmail; Gong; Google AdWords Conversion; Google Apps; Google Tag Manager; GraphQL; Hubspot; Intercom; Jira; Lambda Cloud; Linear; Mobile Friendly; OpenAI; OpenSearch; Playwright; Pulumi; Python; REST; React; Route 53; SQL; Streamlit; Superset; Tableau; Terraform; Webflow; YouTube,,,,5fc8450ba73beb00014586ce,
Kinship,Exhibitor,A Revit content management and BIM analytics platform that helps firms organize their libraries and track how content is used.,Kinship,high,0.64,"name:exact; class_overlap:2 (analytics,management); desc_overlap:2",Kinship,kinship.com,http://www.kinship.com,http://www.linkedin.com/company/kinshipco,https://twitter.com/kinshipco,https://facebook.com/kinshipco,consumer services,210,37500000.0,2019,New York,New York,United States,+1 424-404-1331,"Kinship is a pet care platform and a division of Mars Petcare, established in 2019 and based in New York, NY. The company focuses on helping pet parents provide comprehensive care through a coalition of brands that offer integrated products, services, and digital tools.

Kinship's ecosystem includes Adopt-a-Pet, a platform for finding homes for homeless pets; The Wildest, a resource hub for pet care guidance; and The Kin, a mobile app that centralizes pet care management. The Kin app connects pet parents with quality service providers, allows for booking and record sharing of veterinary services, and offers personalized content to support pet health and wellness.

The mission of Kinship is to empower pet parents with data-driven solutions and resources, ensuring that pets receive high-quality care. The company aims to support a new generation of pet owners who seek convenient access to veterinary services, adoption resources, and expert guidance in pet care.",pet services; personal care; pet health management software; pet behavior training; pet care platform integration; pet care solutions; pet health records; nutrition; pet care platform; pet care community support; pet behavior analysis; pet wellness solutions; pet care industry trends; pet care industry leader; pet care industry support; pet care industry; pet wellness programs; pet care service management; pet behavior tips; pet health and behavior; pet industry innovation; training; pet care app; pet nutrition recipes; pet care industry growth,AI; Adobe Media Optimizer; Amazon AWS; Amazon CloudFront; Cedexis Radar; DoubleClick; DoubleClick Conversion; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Friendbuy; Gmail; Google Apps; Google Dynamic Remarketing; Google Play; Google Tag Manager; Greenhouse.io; MailChimp SPF; Mailchimp Mandrill; Microsoft Office 365; Mobile Friendly; New Relic; Optimizely; Outlook; Remote; Route 53; Salesforce; Sendgrid; Shutterstock; SkimLinks; Slack; Stripe; Vimeo; WordPress.org; YouTube; reCAPTCHA,,,,5cef042a04696a0bd835ebc7,
Knowledge Architecture,Platinum Sponsor,"Provider of Synthesis, an intranet platform designed specifically for AEC firms to help with knowledge management and employee engagement.",Knowledge Architecture,high,1.0,"name:exact; class_overlap:5 (aec,employee,intranet,knowledge,management); desc_overlap:8",Knowledge Architecture,knowledge-architecture.com,http://www.knowledge-architecture.com,http://www.linkedin.com/company/knowledge-architecture,https://twitter.com/karchitecture,https://facebook.com/kaconnect,information technology & services,11,,2009,San Francisco,California,United States,+1 415-523-0410,"Knowledge Architecture is a software company based in San Francisco, California, specializing in knowledge management solutions for the Architecture, Engineering, and Construction (AEC) industry. Founded in 2009, the company is privately held and employee-owned, serving over 160 AEC clients. Knowledge Architecture is dedicated to helping firms enhance their learning processes and develop more adaptable practices.

The company's flagship product, Synthesis, is a comprehensive platform designed specifically for the AEC sector. It functions as an intranet, learning management system, and AI-powered search solution. Synthesis allows firms to create a searchable knowledge base, provide on-demand learning opportunities, and discover employee skills. It also integrates with core software stacks like Deltek, Unanet, OpenAsset, Newforma, and Revit, while ensuring the security of intranet content. Knowledge Architecture also engages with the community through initiatives like the KA Connect annual conference, the Smarter by Design podcast, and the Smarter by Design newsletter.",software development; employee skills discovery; user experience design; data analytics; content creation tools; architecture & engineering; content blocks; community building; security and compliance; content curation; project management; knowledge sharing; ka connect; employee directory; content creation; information technology and services; responsive design; ai-powered search; firmwide knowledge; b2b; aec knowledge platform; software integration; secure data storage; aec industry; knowledge management software,AI; Android; Atlassian Cloud; Gmail; Google Analytics; Google Apps; Google Tag Manager; IoT; Linkedin Marketing Solutions; New Relic; Outlook; Remote; Salesforce; Sprig; Typekit; Vimeo; Zendesk,,,,556d3c4a736964124f17be00,
Mosaic,Gold Sponsor,Resource management and project planning software that integrates with ERP systems to help AEC firms optimize their workforce.,Mosaic,high,1.0,"name:exact; class_overlap:6 (erp,management,planning,project,resource); desc_overlap:6",Mosaic,mosaicapp.com,http://www.mosaicapp.com,http://www.linkedin.com/company/mosaicai,https://twitter.com/MosaicApp,https://www.facebook.com/MosaicAI/,information technology & services,190,,2020,New York,New York,United States,+1 212-597-9333,"Mosaic is an AI-powered resource management and professional services automation (PSA) software platform designed for professional services firms. It helps organizations efficiently plan projects, allocate resources, manage workloads, forecast demand, and improve profitability by replacing traditional spreadsheets and legacy tools. The platform integrates with existing financial software to provide real-time visibility into people, projects, budgets, and performance metrics.

Mosaic offers a suite of AI-driven tools that include resource allocation and planning, project management, forecasting, and budget tracking. Users benefit from features like drag-and-drop scheduling, automated task management, and visual dashboards that enhance decision-making. The platform also emphasizes ease of use with personalized onboarding, interactive training, and responsive customer support. Mosaic serves various industries, including architecture, engineering, consulting, and agencies, helping firms maximize efficiency and protect profits.",productivity & management applications; collaboration management; business management; scheduling; project management; team management; artificial intelligence; resource management; ai; resource planning; work management; planning software; capacity planning; software; resource allocation; small & medium businesses; productivity software; internet; deep information technology; information technology; software development; skill gap analysis; ai models; automated team assembly; project scope control,AI; Amazon AWS; Amazon SES; Appcues; Atlassian Cloud; Bing Ads; Cloudflare DNS; DoubleClick; DoubleClick Conversion; Drift; Facebook Custom Audiences; Facebook Login (Connect); Facebook Widget; Gmail; Google Analytics; Google Apps; Google Dynamic Remarketing; Google Play; Google Tag Manager; Hotjar; Linkedin Marketing Solutions; Mobile Friendly; React Redux; Route 53; Salesforce; Sendgrid; Slack; Stripe; Twitter Advertising; Visual Website Optimizer; Webflow; Wistia; WordPress.org,6800000,Convertible Note,2023-06-01T00:00:00.000+00:00,55f546a3f3e5bb6eac0028c6,
